datetime,machine_id,voltage,rotation,pressure,vibration
2024-01-01 00:00:00,1,180.52,391.3,106.92,46.26
2024-01-01 01:00:00,1,193.95,448.15,80.5,36.88
2024-01-01 02:00:00,1,171.06,503.11,113.02,43.87
2024-01-01 03:00:00,1,163.11,499.81,105.76,43.4
2024-01-01 04:00:00,1,171.06,465.77,134.82,42.29
2024-01-01 05:00:00,1,178.74,501.66,90.98,51.57
2024-01-01 06:00:00,1,177.8,480.89,103.71,32.07
2024-01-01 07:00:00,1,157.74,518.22,127.67,40.54
2024-01-01 08:00:00,1,176.04,469.87,119.69,50.38
2024-01-01 09:00:00,1,177.74,435.36,95.31,38.94
2024-01-01 10:00:00,1,213.34,471.22,106.34,29.93
2024-01-01 11:00:00,1,202.48,298.19,102.81,48.42
2024-01-01 12:00:00,1,158.5,472.2,105.58,51.48
2024-01-01 13:00:00,1,166.68,258.78,92.38,40.85
2024-01-01 14:00:00,1,147.35,359.59,99.37,23.96
2024-01-01 15:00:00,1,160.54,473.71,79.65,45.84
2024-01-01 16:00:00,1,174.4,474.6,101.12,25.4
2024-01-01 17:00:00,1,188.19,387.79,104.8,41.71
2024-01-01 18:00:00,1,157.47,411.44,96.13,31.52
2024-01-01 19:00:00,1,158.76,521.4,78.66,29.32
2024-01-01 20:00:00,1,135.43,423.87,111.92,35.68
2024-01-01 21:00:00,1,167.31,568.2,104.5,38.34
2024-01-01 22:00:00,1,153.69,450.4,91.31,35.07
2024-01-01 23:00:00,1,162.85,472.75,97.68,46.2
2024-01-02 00:00:00,1,158.13,537.3,83.01,38.24
2024-01-02 01:00:00,1,171.29,459.69,89.8,51.05
2024-01-02 02:00:00,1,145.69,400.63,96.7,45.88
2024-01-02 03:00:00,1,150.91,448.34,119.68,38.24
2024-01-02 04:00:00,1,208.3,452.73,96.51,37.3
2024-01-02 05:00:00,1,154.53,382.91,113.01,31.0
2024-01-02 06:00:00,1,157.65,441.51,98.19,47.46
2024-01-02 07:00:00,1,203.97,415.75,108.04,41.91
2024-01-02 08:00:00,1,220.58,503.36,102.81,24.58
2024-01-02 09:00:00,1,155.59,455.95,115.18,39.61
2024-01-02 10:00:00,1,167.68,438.59,96.73,35.9
2024-01-02 11:00:00,1,178.19,447.18,82.87,56.08
2024-01-02 12:00:00,1,199.36,463.78,84.51,27.63
2024-01-02 13:00:00,1,155.61,483.77,94.5,29.06
2024-01-02 14:00:00,1,166.62,397.77,84.69,49.87
2024-01-02 15:00:00,1,182.19,394.94,105.08,51.34
2024-01-02 16:00:00,1,176.29,507.68,93.51,33.12
2024-01-02 17:00:00,1,163.16,427.36,129.17,33.77
2024-01-02 18:00:00,1,166.89,374.27,77.01,44.21
2024-01-02 19:00:00,1,147.35,472.52,101.69,19.47
2024-01-02 20:00:00,1,165.64,473.85,85.13,23.7
2024-01-02 21:00:00,1,165.67,369.14,93.64,37.51
2024-01-02 22:00:00,1,174.18,462.61,102.3,53.59
2024-01-02 23:00:00,1,162.44,490.03,71.79,37.55
2024-01-03 00:00:00,1,179.47,471.75,105.0,42.86
2024-01-03 01:00:00,1,188.81,486.12,126.87,52.35
2024-01-03 02:00:00,1,175.97,379.43,97.76,61.29
2024-01-03 03:00:00,1,179.69,471.59,107.42,39.26
2024-01-03 04:00:00,1,175.44,438.64,117.58,44.46
2024-01-03 05:00:00,1,174.9,429.44,102.83,60.28
2024-01-03 06:00:00,1,163.59,500.93,97.65,32.16
2024-01-03 07:00:00,1,179.91,532.94,76.09,53.58
2024-01-03 08:00:00,1,173.06,549.26,112.72,36.01
2024-01-03 09:00:00,1,207.25,523.48,102.69,44.99
2024-01-03 10:00:00,1,198.4,447.72,90.68,41.46
2024-01-03 11:00:00,1,178.89,471.39,104.38,34.7
2024-01-03 12:00:00,1,159.93,492.46,94.62,33.71
2024-01-03 13:00:00,1,153.63,457.62,94.54,43.56
2024-01-03 14:00:00,1,189.36,457.4,108.18,48.91
2024-01-03 15:00:00,1,174.04,493.34,82.94,38.79
2024-01-03 16:00:00,1,177.01,446.28,112.67,40.0
2024-01-03 17:00:00,1,141.5,410.64,81.41,43.93
2024-01-03 18:00:00,1,183.68,427.14,90.62,30.81
2024-01-03 19:00:00,1,176.3,482.55,123.45,45.35
2024-01-03 20:00:00,1,151.83,449.57,113.68,46.32
2024-01-03 21:00:00,1,162.42,467.83,101.12,61.86
2024-01-03 22:00:00,1,174.68,485.85,88.6,37.33
2024-01-03 23:00:00,1,172.06,431.46,94.53,37.36
2024-01-04 00:00:00,1,167.38,491.9,102.93,48.5
2024-01-04 01:00:00,1,171.14,472.77,103.26,49.7
2024-01-04 02:00:00,1,169.52,388.37,102.36,38.99
2024-01-04 03:00:00,1,176.54,530.21,103.74,40.72
2024-01-04 04:00:00,1,197.89,428.19,101.89,49.17
2024-01-04 05:00:00,1,134.29,367.6,86.65,37.92
2024-01-04 06:00:00,1,171.26,399.88,98.47,41.54
2024-01-04 07:00:00,1,177.7,401.04,116.48,45.66
2024-01-04 08:00:00,1,179.29,457.36,87.28,53.01
2024-01-04 09:00:00,1,168.24,439.68,101.73,39.02
2024-01-04 10:00:00,1,145.71,435.74,93.13,27.96
2024-01-04 11:00:00,1,177.97,485.47,104.19,26.61
2024-01-04 12:00:00,1,199.34,469.93,97.09,31.38
2024-01-04 13:00:00,1,146.96,467.9,119.93,30.15
2024-01-04 14:00:00,1,184.18,472.12,106.92,39.2
2024-01-04 15:00:00,1,164.69,482.39,83.28,29.85
2024-01-04 16:00:00,1,168.44,338.21,107.91,33.48
2024-01-04 17:00:00,1,152.45,429.88,89.3,32.57
2024-01-04 18:00:00,1,163.71,334.0,91.7,35.29
2024-01-04 19:00:00,1,189.68,451.01,103.08,50.27
2024-01-04 20:00:00,1,178.63,449.16,93.18,44.99
2024-01-04 21:00:00,1,197.3,505.04,111.19,40.02
2024-01-04 22:00:00,1,189.14,513.15,90.7,36.61
2024-01-04 23:00:00,1,178.18,461.93,93.39,37.57
2024-01-05 00:00:00,1,199.6,425.61,93.7,44.77
2024-01-05 01:00:00,1,179.73,478.37,95.62,47.71
2024-01-05 02:00:00,1,186.61,425.66,117.42,35.85
2024-01-05 03:00:00,1,169.43,454.05,112.09,44.43
