datetime,machine_id,error_id
2024-01-01 08:00:00,9,error5
2024-01-01 21:00:00,9,error3
2024-01-02 01:00:00,8,error2
2024-01-02 03:00:00,2,error2
2024-01-02 04:00:00,7,error3
2024-01-03 11:00:00,1,error4
2024-01-04 02:00:00,4,error4
2024-01-04 10:00:00,6,error4
2024-01-04 14:00:00,3,error1
2024-01-05 07:00:00,9,error3
2024-01-05 16:00:00,7,error1
2024-01-05 23:00:00,8,error3
2024-01-06 07:00:00,7,error4
2024-01-06 07:00:00,7,error5
2024-01-06 11:00:00,6,error5
2024-01-06 11:00:00,1,error1
2024-01-06 14:00:00,7,error4
2024-01-06 19:00:00,2,error1
2024-01-07 05:00:00,2,error4
2024-01-07 06:00:00,3,error3
2024-01-07 17:00:00,6,error2
2024-01-08 10:00:00,6,error5
2024-01-08 19:00:00,3,error1
2024-01-09 10:00:00,3,error4
2024-01-09 18:00:00,2,error3
2024-01-10 21:00:00,1,error2
2024-01-11 02:00:00,5,error2
2024-01-11 10:00:00,3,error5
2024-01-11 23:00:00,1,error3
2024-01-14 03:00:00,4,error2
2024-01-14 12:00:00,2,error3
2024-01-15 11:00:00,8,error4
2024-01-15 13:00:00,9,error3
2024-01-15 16:00:00,5,error3
2024-01-15 16:00:00,4,error3
2024-01-16 22:00:00,4,error1
2024-01-17 03:00:00,1,error4
2024-01-19 21:00:00,10,error5
2024-01-20 03:00:00,2,error5
2024-01-20 11:00:00,2,error4
2024-01-21 11:00:00,1,error2
2024-01-21 22:00:00,1,error4
2024-01-22 03:00:00,4,error5
2024-01-22 16:00:00,4,error3
2024-01-22 17:00:00,10,error5
2024-01-23 09:00:00,7,error4
2024-01-24 07:00:00,10,error1
2024-01-24 18:00:00,2,error4
2024-01-25 13:00:00,6,error3
2024-01-26 06:00:00,3,error5
2024-01-26 10:00:00,9,error2
2024-01-29 08:00:00,5,error5
2024-01-30 20:00:00,3,error1
